"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","8","tests.unit.backend.layers.api","test_curation_api","TestPostRevision","","","test__post_revision_by_collection_version_id_403",""
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","7","tests.unit.backend.layers.api","test_curation_api","TestPostDataset","","","test_post_datasets_no_auth_401",""
"passed","Wed Nov 29 16:58:16 GMT 2023","Wed Nov 29 16:58:16 GMT 2023","44","tests.unit.backend.layers.utils","test_cxg_generation_utils","TestCxgGenerationUtils","","","test__convert_matrices_to_cxg_arrays__sparse_array_only_store_nonzeros",""
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","4","tests.unit.backend.layers.api","test_curation_api","TestPostDataset","","","test_post_datasets_super",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","30","tests.unit.backend.layers.business","test_business","TestDeleteDataset","","","test_cleanup_occurs_after_revision_is_canceled","
        New Dataset assets and rows not deleted until after revision is canceled (for previously-published Collection)
        "
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","8","tests.unit.backend.layers.business","test_business","TestSetPreviousDatasetVersion","","","test_revision_with_no_previous_version",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","7","tests.unit.backend.layers.business","test_business","TestUpdateCollection","","","test_update_published_collection_fail","
        Updating a collection version that is published should fail
        "
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","1","tests.unit.backend.layers.utils","test_type_conversion_utils","TestTypeInference_26","","","test_type_inference",""
"passed","Wed Nov 29 16:58:05 GMT 2023","Wed Nov 29 16:58:05 GMT 2023","5","tests.unit.backend.layers.api","test_curation_api","TestGetCollections","","","test__get_collections_with_auth__OK_6","revision_of contains None if the collection is unpublished"
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","0","tests.unit.backend.layers.common","test_validation","","","","test__link__INVALID[data_source-.com]",""
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","23","tests.unit.backend.layers.api","test_curation_api","TestGetDatasetVersion","","","test_get_dataset_version_ok",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","1","tests.unit.backend.layers.common","test_validation","","","","test__link__INVALID[other-://]",""
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","76","tests.unit.backend.layers.api","test_curation_api","TestGetDatasets","","","test_get_datasets_by_schema_200",""
"passed","Wed Nov 29 16:58:09 GMT 2023","Wed Nov 29 16:58:09 GMT 2023","2","tests.unit.backend.layers.thirdparty","test_crossref_provider","TestCrossrefProvider","","","test__provider_throws_exception_if_request_fails_with_non_2xx_code","
        Asserts a CrossrefFetchException if the GET request return a 500 error (any non 2xx will work)
        "
"passed","Wed Nov 29 16:58:05 GMT 2023","Wed Nov 29 16:58:05 GMT 2023","27","tests.unit.backend.layers.api","test_curation_api","TestGetDatasets","","","test_get_dataset_in_a_collection",""
"passed","Wed Nov 29 16:58:09 GMT 2023","Wed Nov 29 16:58:09 GMT 2023","0","tests.unit.backend.layers.common","test_validation","","","","test_invalid_email[@place.com]",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","1","tests.unit.backend.layers.utils","test_type_conversion_utils","TestTypeInference_80","","","test_type_inference",""
"passed","Wed Nov 29 16:59:23 GMT 2023","Wed Nov 29 16:59:23 GMT 2023","4","tests.unit.processing","test_process_download","TestProcessDownload","","","test_download_from_s3_uri","
        Call process download using an s3 uri
        "
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","21","tests.unit.backend.layers.api","test_portal_api","TestCollection","","","test__get_all_user_collections_for_index","
        The `my-collections/index` endpoint should return all public collections and the private
        collections the user has WRITE access to. Curators can see all public collectoins and private collections where
        they are the owner. Super Curators can see all public and private collections.
        "
